Nombre_Equipo,Partidos jugados,Partidos ganados,Partidos perdidos,Goles por partido
México,15,7,5,1.6
Colombia,14,8,4,1.75
Perú,10,5,3,1.4
Bolivia,9,3,4,1.2
Venezuela,11,4,6,1.1
Japón,6,4,2,2
Inglaterra,6,5,1,2.67
República Dominicana,5,2,1,0.4
Surinam,6,2,3,1.5
Costa Rica,15,7,5,1.6
Alemania,6,1,2,2.88
Portugal,6,5,1,2.17
Australia,16,9,2,1.94
España,10,6,1,2.3
Francia,8,5,2,1.75
Suiza,10,4,3,1.8
Turquía,4,3,1,2
Paraguay,6,3,2,1
Juventus,38,26,6,1.49
Wydad Casablanca,30,14,4,1.5
Real Madrid,38,26,6,2.05
Pachuca,20,9,10,1.55
RB Salzburg,16,10,6,1.66
Al-Hilal,34,23,9,2.79
Trinidad y Tobago,4,1,2,1.25
Estados Unidos (EU),6,3,0,1.83
Haití,3,1,2,2.33
Manchester City,6,5,1,2.17
Al Ain,1,0,1,0
Arabia Saudí,2,1,1,1.5
Jamaica,5,3,2,1.7
Canadá,2,2,0,3
El Salvador,3,1,2,1.3
Honduras,3,1,2,1
Curazao,2,0,2,0.5
Guatemala,2,1,1,1.5
